Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4oq7ZcAsudTyMAyf0hKo42,"Cuando la nostalgia aprieta","Cuando la nostalgia aprieta","Beltran;Fulston",2023-03-03,117000,31,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.605,0.64,8,-9.111,1,0.305,0.372,0,0.125,0.201,100.032,4
spotify:track:6Ej77KSD44rQrSQXoDNcst,"Planetas","Planetas","Beltran;Elena Torres;MPV",2022-07-22,168476,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"flamenco urbano","Naz4ri Music",0.651,0.694,1,-5.061,1,0.0453,0.466,0.00261,0.116,0.619,150.944,4
spotify:track:4IXLJpcQ2zh12bsbMA0PcE,"Verte","Verte","Beltran;Nare",2022-05-05,157008,31,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.525,0.36,4,-9.948,1,0.0314,0.432,0.00000172,0.112,0.252,102.226,4
spotify:track:5LdO3QL9tD6kRgK8LYxBiV,"Luna Negra","La Memoria del Agua","Beltran",2017-01-05,141000,36,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.835,0.568,0,-14.759,1,0.226,0.635,0.00000322,0.098,0.437,100.041,4
spotify:track:3QFtJWOknjS5PzEr9tfXRJ,"Si no estoy","Si no estoy","Beltran;Fulston",2022-04-01,194040,35,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.466,0.43,4,-9.16,0,0.0635,0.299,0,0.111,0.0601,110.042,4
spotify:track:2S2kNCP7UbhN08DxZ5U1HM,"corazón partío","corazón partío","Beltran;Nare",2022-10-21,191015,30,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.547,0.259,4,-15.51,1,0.0424,0.744,0.00000453,0.142,0.236,91.979,4
spotify:track:0OPyUMI6YKTDfdFfAb2YOh,"Oye Mama","Oye Mama","Beltran",2020-02-14,205560,31,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.705,0.666,8,-10.56,1,0.393,0.807,0.000117,0.104,0.368,180.089,4
spotify:track:6XLiTjTYhyq2m7j1kWZeNp,"30 monedas (feat. D3llano)","30 monedas (feat. D3llano)","Bianca Mui;Beltran;Delgao;D3llano",2021-04-30,210995,29,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","WM Spain",0.814,0.485,6,-8.617,0,0.133,0.0866,0,0.0882,0.811,149.978,4
spotify:track:4B8cHX5qO0A0lkwsGmQAHi,"Otro bar","Otro bar","Beltran;Nare",2023-03-31,158965,15,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.535,0.952,5,-6.696,0,0.0873,0.0436,0.00000278,0.326,0.68,164.941,4
spotify:track:4m7TlkS9y5sryvZe8b8eH7,"Sálvese Quien Pueda","Sálvese Quien Pueda","Beltran",2021-01-08,151794,22,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.708,0.458,11,-8.895,1,0.413,0.359,0,0.104,0.489,175.501,4
spotify:track:1IuiNR0JkxJTNv2vLBPHvD,"el idioma de las luces","el idioma de las luces","Beltran;Nare",2023-06-15,152275,23,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.518,0.705,3,-11.059,1,0.151,0.282,0,0.144,0.379,144.835,4
spotify:track:4Cuh8Cf2aP6iVglKEOKPmI,"Días de Verano","Días de Verano","Beltran;Only",2021-06-10,177391,21,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.492,0.702,0,-7.752,1,0.0757,0.245,0,0.104,0.623,183.933,4
spotify:track:6fWPTTEnhBZXQIjWpuuNQM,"Loko","Loko","Beltran;Bianca Mui",2020-07-09,229080,22,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.803,0.652,5,-8.523,1,0.217,0.679,0.000338,0.135,0.247,89.997,4
spotify:track:7mSGiJBtHjJOTagu4BVfSt,"Flojera","Flojera","Beltran",2023-06-22,163381,8,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.66,0.698,8,-7.966,1,0.0867,0.657,0,0.133,0.653,97.015,4
spotify:track:14peTBFdntcVUFUJgQIlLn,"Reverse","Reverse","Beltran",2016-07-10,202104,21,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.593,0.549,10,-12.398,1,0.483,0.594,0.00000417,0.155,0.059,180.233,4
spotify:track:7M2e1G2CXoCUyhoEA7a1cY,"Otro Vuelco al Corazón","Otro Vuelco al Corazón","Sanju;Beltran;J Holland",2023-09-29,201739,22,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.627,0.784,6,-7.375,1,0.17,0.179,0.000148,0.395,0.323,99.974,4
spotify:track:6zPj3gbe3hncWpBFLgAAuG,"Tus Ojos y Ojeras","Tus Ojos y Ojeras","Beltran",2020-12-04,252385,20,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Acqustic",0.49,0.483,10,-11.363,1,0.0468,0.0231,0,0.126,0.478,159.997,4
spotify:track:6W2cNi8hFxbOrSB8DzWvbB,"Disimula - Remake Mortis Causa #3","Mortis Causa Series","Beltran",2018-04-25,165024,21,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.827,0.607,6,-8.642,0,0.215,0.504,0,0.0972,0.575,94.01,4
spotify:track:6220M58IZf1wTxeDz4j9Hn,"Contigo Me Enciendo","Contigo Me Enciendo","Beltran;Bianca Mui",2020-09-24,193469,16,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.794,0.576,1,-6.206,1,0.0526,0.375,0.00484,0.0986,0.246,97.983,4
spotify:track:5qOysC8kdctS3V7s20PHYq,"Fénix","Fénix","Beltran",2019-12-20,163080,7,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.325,0.449,11,-9.968,1,0.156,0.54,0,0.0997,0.177,178.182,3
spotify:track:6ChPgWAw5385XIaeSRIuTR,"Bruja","Bruja","Beltran;Nare",2021-07-29,184284,8,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.466,0.595,2,-8.834,1,0.0636,0.825,0,0.0815,0.203,83.709,4
spotify:track:2e6KO1PFbSSfPoiotokkjH,"Flores en tu puerta","La Memoria del Agua","Beltran",2017-01-05,142032,12,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.626,0.561,2,-12.787,1,0.238,0.653,0,0.109,0.441,74.793,4
spotify:track:5hPBoIvjE6suhjbFVoPFVW,"Volar","Demons","Beltran",2019-03-22,167933,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.625,0.645,8,-7.817,0,0.0512,0.0204,0,0.147,0.101,129.962,4
spotify:track:1pcPbo6qBKxSkj6FJqKIT7,"Tanto Tiempo","Tanto Tiempo","Beltran",2017-09-20,228312,19,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.738,0.597,9,-11.038,1,0.0917,0.131,0,0.11,0.125,109.942,4
spotify:track:6XWd5duUlW8ueW8leUGFVz,"Guapa","Guapa","Beltran;Bianca Mui;Dopenope",2021-07-02,198000,7,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.714,0.615,8,-8.033,1,0.0264,0.732,0.147,0.0931,0.537,104.963,4
spotify:track:2ciX0gpFEVVm9kyFCmpOpr,"Mum","La Memoria del Agua","Beltran",2017-01-05,106008,6,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.758,0.328,4,-18.351,0,0.0641,0.286,0.00000116,0.121,0.0369,110.036,4
spotify:track:5IKCuNJd8zwyyU1YRGEnsu,"Última Cena","Demons","Beltran;Lionware",2019-03-22,223880,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.604,0.534,6,-8.957,0,0.258,0.0728,0.00000153,0.133,0.285,165.986,3
spotify:track:1SBcQsjhPcak7aZ96CCAUO,"Gone (Mortis Causa #9)","Mortis Causa Series","Beltran",2018-04-25,152015,5,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.55,0.756,9,-8.216,0,0.065,0.89,0.00000248,0.106,0.195,129.888,4
spotify:track:3HZc4Jmrn9rZk9qnDQoDil,"Llámame","Llámame","Beltran",2017-11-22,149040,5,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Ditto",0.612,0.637,7,-8.949,1,0.333,0.906,0.00000125,0.0876,0.153,89.861,4
spotify:track:1wa3hpBE6e4E3xKcgurGYj,"Alone","La Memoria del Agua","Beltran",2017-01-05,111024,6,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.605,0.523,9,-10.055,1,0.145,0.73,0,0.139,0.0615,89.586,4
spotify:track:4xdpoSmoz2QcIr3xsywdD3,"Anochecer","Demons","Beltran",2019-03-22,210773,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.467,0.644,11,-10.091,1,0.242,0.431,0,0.166,0.113,80.128,4
spotify:track:4ffcSmvBo0T1qC9GVcq5s1,"Como Tú y Yo","Como Tú y Yo","Beltran",2021-02-11,277000,6,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.699,0.761,8,-8.757,0,0.264,0.338,0,0.122,0.691,115.095,4
spotify:track:55GvhzsHLJE71dEerbCAYH,"Inmortal","Inmortal","Beltran;Skone",2016-12-22,213263,0,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"freestyle","BoltMusic distributed by Altafonte",0.688,0.431,5,-15.275,0,0.429,0.0639,0,0.0773,0.187,159.971,4
spotify:track:4qheqZ30YnI6kfEOj6weiN,"Divisas","La Memoria del Agua","Beltran",2017-01-05,177000,3,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.588,0.665,8,-9.336,0,0.505,0.174,0,0.108,0.516,176.295,4
spotify:track:4OeINj3oVokts2qG7rAfm9,"Broken","Demons","Beltran",2019-03-22,171693,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.483,0.93,4,-8.668,0,0.803,0.649,0,0.196,0.0737,177.959,4
spotify:track:65Yyf6jwHYC35I9y0RNtYk,"Lo de siempre","Lo de siempre","Beltran",2016-10-20,194015,6,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.57,0.647,9,-11.452,1,0.41,0.597,0,0.105,0.0708,84.455,4
spotify:track:6FVWN1aVwDOs72T4kq9DsI,"entre lobos - Acústico","entre lobos","Ale Berraquero;Beltran",2019-05-13,200013,5,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.381,0.459,7,-10.618,0,0.0489,0.871,0.00000408,0.0902,0.46,91.376,4
spotify:track:2EqFbZaF0xJNIljQsZ136E,"Liquid","La Memoria del Agua","Beltran",2017-01-05,155040,7,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.629,0.515,8,-12.519,0,0.2,0.455,0.00000196,0.107,0.274,90.119,4
spotify:track:4ZYPDIBmev9B7f7zrHO4fD,"Sad","Demons","Beltran;Viti Palazzo",2019-03-22,242133,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.592,0.499,4,-12.083,0,0.155,0.264,0,0.107,0.394,139.932,4
spotify:track:31dCeG31tbQSVmVy72laG4,"Chico Triste (Mortis Causa #7)","Mortis Causa Series","Beltran",2018-04-25,150048,6,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.453,0.912,8,-9.713,1,0.537,0.756,0,0.208,0.574,178.329,4
spotify:track:40RYQVYdcqdzVfCxhGXyf9,"En Peligro de Extinción","En Peligro de Extinción","Beltran",2019-10-20,237024,6,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.626,0.651,3,-8.227,0,0.072,0.507,0,0.0695,0.299,85.961,4
spotify:track:6CBNb2XJgIvRaJcsHRIdlO,"Sunday","Sunday","Beltran",2021-03-24,144827,4,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.723,0.529,9,-9.675,1,0.0865,0.301,0.0000101,0.166,0.576,116.082,4
spotify:track:00hDtbYfaFwZvE8QuuC9ot,"Adiós","Adiós","Beltran",2018-10-26,226853,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica | Bolt Music distributed by Altafonte",0.343,0.671,8,-7.987,0,0.0575,0.191,0.179,0.225,0.23,110.601,3
spotify:track:3FhImtB4mgG10hAzJ75qv6,"Foreva - Mortis Causa #8","Mortis Causa Series","Beltran",2018-04-25,209015,4,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.675,0.898,11,-5.339,0,0.184,0.612,0.000829,0.362,0.719,90.028,4
spotify:track:1jlwG8z0hWXlotF3Xm9YjG,"Te He Buscado","Demons","Beltran",2019-03-22,174293,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.583,0.569,11,-11.205,0,0.153,0.0214,0.098,0.106,0.146,80.094,4
spotify:track:10DghUUc5lQefUSZ89ktDa,"Warrior","Warrior","Beltran",2018-05-25,211240,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.665,0.953,6,-5.867,0,0.353,0.557,0,0.0924,0.543,90.014,4
spotify:track:1XLtlYd27TTjUCeXf2pixI,"Pantera","Pantera","Beltran",2018-01-27,148571,4,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","BoltMusic",0.826,0.565,6,-10.388,0,0.178,0.396,0.000039,0.112,0.401,105.017,4
spotify:track:0kuTam8xuuavlyonvlaJJK,"Cruces Negras (Mortis Causa #2)","Mortis Causa Series","Beltran",2018-04-25,156095,5,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.663,0.877,7,-7.991,1,0.367,0.372,0,0.37,0.484,126.994,4
spotify:track:6UyWDdG8hZs40w0JgA7TXn,"Criando Cuervos","Criando Cuervos","Beltran",2016-09-18,166008,5,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.423,0.732,5,-11.4,1,0.536,0.783,0,0.0494,0.189,89.969,4
spotify:track:58p7fdyjLZ6wANnpmp3gPc,"Cartas Marcadas - Mortis Causa #1","Mortis Causa Series","Beltran",2018-04-25,192000,5,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","B DE BANANA",0.53,0.788,2,-5.925,0,0.245,0.762,0.0000013,0.11,0.566,172.202,4
spotify:track:4M2LWuxwoZe0TLTiD8rsYp,"Tu Pelo","Tu Pelo","Adrifu;Beltran;MPV",2024-05-31,213659,1,false,31rtpyuaddhriw67bslugt3j7zby,2024-07-11T21:45:22Z,"flamenco urbano","Ophion Agency",0.716,0.837,1,-4.702,0,0.0925,0.184,0,0.0677,0.756,109.08,4
spotify:track:361r8vLK0bgSoiKHXPERyR,"Caro","Caro","Babi",2024-04-25,206399,48,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.655,0.345,9,-10.365,0,0.0965,0.889,0.000009,0.117,0.546,149.93,4
spotify:track:3MrWbBl9WB14QDb62hYIe3,"Loca","Loca","Babi",2024-04-02,181621,50,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.654,0.504,1,-5.38,1,0.155,0.829,0.00284,0.136,0.366,148.07,4
spotify:track:5KwzWrI7rj4O6Dj701hzpM,"Devuélvemelo","Devuélvemelo","Babi",2019-11-01,242546,59,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.733,0.424,10,-9.855,0,0.299,0.661,0.0521,0.116,0.209,144.912,4
spotify:track:1Sedbo7kqP6PXnN5iKg183,"Lo jodiste","Lo jodiste","Babi",2019-08-16,271306,58,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.735,0.415,0,-10.608,1,0.501,0.41,0.000145,0.0686,0.631,81.994,4
spotify:track:6WCE835xi0qL8qZVfPyosc,"Flores","Flores","Babi",2022-04-29,207354,56,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.622,0.432,1,-6.203,0,0.0575,0.544,0.0754,0.29,0.362,126.79,5
spotify:track:3l5S5E88s273Zo8xhlH22e,"Duelo dulce","Duelo dulce","Babi",2019-05-09,129893,55,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.792,0.415,8,-8.447,1,0.144,0.897,0,0.126,0.228,119.91,4
spotify:track:40NZgN1uNdeZzPKjkM1QIW,"NASA","NASA","Babi",2020-06-04,220075,56,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Sony Music Entertainment",0.582,0.4,1,-10.999,1,0.481,0.817,0.0333,0.124,0.413,139.187,4
spotify:track:3NUoEQ2W7pjFSOy08nXQed,"Colegas","Colegas","Babi",2019-09-20,245933,58,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.792,0.459,0,-8.558,1,0.13,0.69,0.0000871,0.108,0.399,111.08,4
spotify:track:66INQAd3dSAst7uZOVbeWu,"Lo sabía","Lo sabía","Babi;Miranda",2020-01-16,199146,54,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.809,0.576,1,-7.053,0,0.276,0.782,0,0.111,0.572,140.001,4
spotify:track:4tP0e7ZZuW7rc9hC33bS8K,"Tu nana","Tu nana","Babi",2019-06-09,182280,51,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.813,0.495,9,-6.612,0,0.0506,0.684,0.0472,0.0886,0.332,100.014,4
spotify:track:4j6Nf23maQWh5oZWtiQAyV,"Desierto","Desierto","Babi",2019-01-01,226000,53,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.655,0.444,1,-7.681,0,0.0412,0.661,0.00161,0.246,0.366,120.019,4
spotify:track:1JVm36iPfo7GLFKOGRxpsg,"Rota","Rota","Babi",2019-02-06,193440,51,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.831,0.525,4,-11.065,0,0.29,0.795,0.00149,0.051,0.245,134.031,4
spotify:track:5T0LEY3SN2bMaO2K7dqv0V,"La Última Vez","La Última Vez","G Sony;Babi;OCTO",2020-02-14,190365,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"cuarteto,r&b latino,cumbia","OCTO Sound",0.516,0.381,5,-12.127,0,0.164,0.874,0,0.365,0.309,127.156,4
spotify:track:6jjZ0vcpMpXFPfJ4DAIorP,"Estigma","Atlántida (Versión Extendida)","Xenon;Babi",2018-11-24,216000,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.679,0.636,1,-8.753,0,0.0572,0.591,0,0.109,0.278,130.022,4
spotify:track:5863OGilEb1h8SN6BJIf2P,"Somos","Atlántida","Xenon;Babi",2018-11-23,204240,0,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Boa Musica / Bolt Music distributed by Altafonte",0.858,0.422,10,-10.392,1,0.106,0.837,0,0.126,0.685,107.017,4
spotify:track:0C21qHj3ebbxrRLqbjWnOT,"Incondicional","Incondicional","Babi",2021-02-25,170666,49,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.582,0.496,2,-10.214,1,0.102,0.673,0.0827,0.246,0.687,88.127,4
spotify:track:1vfnJd5N9VRhGWvtNxwtqa,"Prioridades","Prioridades","Babi",2020-03-26,170586,50,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.71,0.362,9,-9.328,1,0.403,0.852,0.00251,0.0819,0.467,80.137,4
spotify:track:73smEHFSeOtTFPpphikL7M,"Cocaína","Cocaína","Babi",2021-09-01,218106,50,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.635,0.25,8,-10.814,1,0.0405,0.383,0.0234,0.176,0.193,125.923,4
spotify:track:7kWAWd1rt7Hyk9oOv6AGdu,"Game Ova","Game Ova","Babi",2019-12-15,213546,50,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.847,0.492,0,-9.916,0,0.383,0.603,0,0.869,0.637,130.024,4
spotify:track:7GSO4ELAP08oZs3VtIJPZa,"No drama","No drama","Babi",2022-11-30,210989,48,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.488,0.202,10,-15.72,0,0.173,0.849,0.00121,0.101,0.692,91.013,4
spotify:track:0k2S7GrwuyTHtn8n7yqGpQ,"Corales","Corales","Babi",2022-12-12,231000,48,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.579,0.305,5,-16.034,1,0.0531,0.913,0.22,0.138,0.186,79.89,4
spotify:track:67NQPT5ntGXp1fLmAtp2kH,"Pa Ti","Pa Ti","Grind;Babi",2024-12-17,167142,45,false,315xwwjruou5735a6tm2ijxcblyi,2024-12-18T19:29:34Z,"drill","Stelars TV",0.722,0.518,7,-9.031,0,0.142,0.516,0.00717,0.108,0.543,139.956,4
spotify:track:3HV3ntf0fCvf6sbUEdiZS8,"Marte","Marte","Babi;Denom",2023-02-16,175200,47,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.481,0.504,1,-7.158,0,0.0462,0.695,0.00531,0.103,0.139,132.772,5
spotify:track:575j2KAeLqyUoclBKjvdp6,"Low Key","Low Key","Babi",2019-08-13,182306,48,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.801,0.524,5,-12.339,1,0.435,0.844,0.0809,0.107,0.291,160.021,4
spotify:track:6AYZBpC8MVeC1N7vEqRCPW,"De frente","De frente","Babi",2023-01-09,199024,47,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.799,0.356,11,-9.067,0,0.585,0.416,0.42,0.1,0.345,163.995,4
spotify:track:5znseRP1uqmqPECGi58K4c,"A tus brazos no","A tus brazos no","Jonan;Babi",2019-03-13,235384,4,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Jonan",0.664,0.601,11,-9.802,1,0.211,0.416,0.000454,0.242,0.479,155.883,4
spotify:track:1wokiLX3p2kuBmgeHYdp11,"No queda na","No queda na","Babi;Marc Seguí",2019-11-21,203746,50,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.782,0.583,2,-7.355,0,0.171,0.728,0.0000208,0.185,0.459,133.985,4
spotify:track:75w3eVEma8XuPfMwWsaSnN,"Nací pa esto","Nací pa esto","Babi",2021-01-18,251040,47,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.604,0.307,5,-11.669,1,0.3,0.86,0.0301,0.126,0.224,114.795,4
spotify:track:0RapTUqTnVGQznaJcnefNX,"Morir de la Pena","Morir de la Pena","Denom;Babi;Nake",2022-05-26,224732,46,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"trap argentino","Denom",0.796,0.523,6,-6.941,0,0.0633,0.591,0.00655,0.114,0.348,110.088,4
spotify:track:1jhV4XajDfWpQAKoBsX8QR,"Amén","Amén","Babi",2020-12-15,212120,46,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.796,0.403,6,-8.019,0,0.313,0.539,0.00349,0.123,0.62,79.073,4
spotify:track:7lE2GYjO8ogh2a7yTV2kUk,"Tregua (feat. Babi)","El Viaje de Trece","Xavibo;El Hombre Viento;Babi",2021-02-19,179278,46,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","WM Spain",0.418,0.645,11,-9.374,1,0.311,0.567,0.000897,0.616,0.516,119.063,4
spotify:track:2PRrHvfU4Gsq9RVFMsB0F5,"Stressed Out","Stressed Out","Babi;Ly Raine",2019-10-04,233733,48,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.598,0.565,10,-6.335,0,0.0739,0.867,0.00000835,0.112,0.298,114.921,4
spotify:track:4JFjInnwwkQ6NDcy7mtcia,"No somos iguales","No somos iguales","Babi",2022-11-10,168000,45,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.803,0.578,8,-11.051,1,0.338,0.449,0.00274,0.178,0.432,90.023,4
spotify:track:1PbIKx9rhDslGVpW9Fo1Fq,"Lejos","Lejos","Babi;Albany",2022-12-22,201600,45,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"neoperreo","Babi",0.77,0.409,3,-10.887,0,0.0525,0.912,0.151,0.11,0.462,125.022,4
spotify:track:5d8znUEh8Ug8RUGl5iqezR,"Los mejores","Los mejores","Babi;Lamotta",2023-01-19,240000,43,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"","Babi",0.62,0.337,4,-12.6,0,0.296,0.835,0.0000065,0.0872,0.288,88.73,4
spotify:track:2uSJW6VyeeDUqJvFwR1izB,"Disney","Disney","Luna Ki;Babi",2021-02-01,260000,44,true,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"neoperreo","LUNA KI",0.741,0.63,1,-4.981,0,0.0454,0.344,0.000842,0.0883,0.261,90.505,4
spotify:track:5udSA2sOvJGdQm3GHL10ft,"Me Matarás (feat. Babi) - BSO No Matarás - CROSS THE LINE","Me Matarás (feat. Babi) [BSO No Matarás - CROSS THE LINE]","Macaco;Babi",2020-10-02,187125,39,false,31rtpyuaddhriw67bslugt3j7zby,2024-06-06T12:54:28Z,"reggae en español,música alternativa latina","Sony Music Entertainment",0.601,0.508,11,-8.304,0,0.0513,0.701,0,0.213,0.362,132.146,4
